,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/1/2024,"1,139.6","1,147.0","1,133.0","1,106.8","1,090.3","1,069.5","1,073.5","1,023.8","1,063.8","1,090.4","1,115.4","1,161.4","1,170.0","1,200.5","1,201.8","1,194.4","1,191.5","1,181.6","1,260.8","1,282.3","1,283.7","1,289.1","1,261.5","1,215.0"
1/2/2024,"1,167.7","1,135.2","1,106.0","1,076.2","1,058.3","1,082.0","1,120.0","1,275.9","1,406.0","1,495.6","1,536.5","1,569.2","1,591.2","1,610.0","1,630.9","1,595.7","1,545.4","1,420.2","1,481.8","1,475.2","1,434.2","1,397.4","1,342.6","1,278.8"
1/3/2024,"1,214.3","1,172.3","1,131.5","1,112.9","1,093.6","1,118.8","1,168.9","1,316.9","1,383.8","1,467.2","1,497.8","1,544.3","1,561.0","1,603.3","1,648.0","1,664.0","1,572.0","1,464.0","1,526.4","1,511.5","1,485.5","1,454.9","1,408.6","1,344.7"
1/4/2024,"1,269.2","1,212.8","1,163.7","1,128.0","1,107.8","1,136.7","1,169.7","1,299.3","1,408.6","1,520.3","1,566.4","1,589.1","1,632.8","1,648.2","1,674.7","1,637.5","1,593.0","1,467.8","1,511.2","1,496.9","1,459.6","1,437.2","1,380.5","1,324.5"
1/5/2024,"1,250.0","1,197.3","1,151.6","1,122.8","1,108.9","1,126.2","1,154.8","1,313.6","1,415.7","1,510.0","1,578.5","1,614.0","1,640.2","1,672.6","1,678.8","1,669.6","1,611.5","1,503.0","1,489.8","1,494.2","1,449.4","1,434.6","1,384.8","1,327.5"
1/6/2024,"1,265.7","1,210.4","1,180.7","1,168.2","1,137.6","1,150.1","1,145.5","1,227.3","1,308.7","1,404.2","1,443.8","1,476.3","1,473.0","1,451.1","1,446.0","1,428.9","1,433.8","1,412.0","1,433.5","1,424.8","1,428.4","1,405.4","1,365.5","1,308.6"
1/7/2024,"1,269.1","1,221.3","1,178.3","1,143.2","1,114.8","1,099.1","1,094.8","1,076.6","1,116.6","1,167.1","1,225.3","1,263.9","1,309.9","1,299.9","1,319.2","1,317.9","1,320.6","1,294.9","1,383.1","1,387.9","1,395.3","1,383.3","1,356.9","1,298.6"
1/8/2024,"1,257.5","1,216.5","1,166.6","1,144.9","1,126.1","1,161.2","1,193.1","1,352.5","1,443.1","1,517.7","1,580.6","1,587.8","1,610.6","1,653.0","1,681.5","1,682.9","1,612.2","1,512.4","1,506.2","1,493.0","1,472.3","1,464.6","1,399.7","1,365.9"
1/9/2024,"1,304.6","1,245.3","1,205.8","1,174.7","1,146.8","1,127.6","1,126.4","1,128.9","1,175.2","1,227.8","1,288.4","1,335.5","1,373.3","1,390.0","1,437.7","1,452.1","1,441.1","1,407.3","1,467.4","1,477.2","1,490.0","1,491.9","1,451.4","1,393.5"
1/10/2024,"1,326.8","1,260.7","1,200.3","1,172.6","1,150.8","1,166.9","1,203.9","1,353.3","1,490.6","1,579.7","1,645.9","1,683.6","1,726.0","1,746.2","1,770.6","1,721.8","1,643.2","1,534.2","1,544.2","1,550.9","1,516.8","1,487.8","1,455.5","1,398.2"
